country,iso3,who_region,month_start,month_lab,cases,deaths
Belgium,BEL,EURO,01-09-22,sept-22,64,0
Belgium,BEL,EURO,01-10-22,oct-22,15,0
Belgium,BEL,EURO,01-11-22,nov-22,4,0
Belgium,BEL,EURO,01-12-22,Dec 2022,1,0
Belgium,BEL,EURO,01-01-23,janv-23,3,0
Belgium,BEL,EURO,01-02-23,Feb 2023,0,1
Belgium,BEL,EURO,01-03-23,mars-23,0,0
Belgium,BEL,EURO,01-04-23,Apr 2023,0,0
Belgium,BEL,EURO,01-05-23,May 2023,0,0
Belgium,BEL,EURO,01-06-23,Jun 2023,2,0
Belgium,BEL,EURO,01-07-23,Jul 2023,0,0
Belgium,BEL,EURO,01-08-23,Aug 2023,0,0
Belgium,BEL,EURO,01-09-23,sept-23,0,0
Belgium,BEL,EURO,01-10-23,oct-23,0,0
Belgium,BEL,EURO,01-11-23,nov-23,2,0
Belgium,BEL,EURO,01-12-23,Dec 2023,3,0
Belgium,BEL,EURO,01-01-24,janv-24,3,0
Belgium,BEL,EURO,01-02-24,Feb 2024,2,0
Belgium,BEL,EURO,01-03-24,mars-24,1,0
Belgium,BEL,EURO,01-04-24,Apr 2024,3,0
Belgium,BEL,EURO,01-05-24,May 2024,0,0
Benin,BEN,AFRO,01-06-22,Jun 2022,3,0
Benin,BEN,AFRO,01-07-22,Jul 2022,0,0
Benin,BEN,AFRO,01-08-22,Aug 2022,0,0
Benin,BEN,AFRO,01-09-22,sept-22,0,0
Benin,BEN,AFRO,01-10-22,oct-22,0,0
Benin,BEN,AFRO,01-11-22,nov-22,0,0
Benin,BEN,AFRO,01-12-22,Dec 2022,0,0
Benin,BEN,AFRO,01-01-23,janv-23,0,0
Benin,BEN,AFRO,01-02-23,Feb 2023,0,0
Benin,BEN,AFRO,01-03-23,mars-23,0,0
Benin,BEN,AFRO,01-04-23,Apr 2023,0,0
Benin,BEN,AFRO,01-05-23,May 2023,0,0
Benin,BEN,AFRO,01-06-23,Jun 2023,0,0
Benin,BEN,AFRO,01-07-23,Jul 2023,0,0
Benin,BEN,AFRO,01-08-23,Aug 2023,0,0
