COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
Bulgaria,BGR,EURO,01-11-23,0,0
Bulgaria,BGR,EURO,01-12-23,0,0
Bulgaria,BGR,EURO,01-01-24,0,0
Bulgaria,BGR,EURO,01-02-24,0,0
Bulgaria,BGR,EURO,01-03-24,0,0
Bulgaria,BGR,EURO,01-04-24,0,0
Bulgaria,BGR,EURO,01-05-24,1,0
Cambodia,KHM,WPRO,01-12-23,1,0
Cambodia,KHM,WPRO,01-01-24,2,0
Cambodia,KHM,WPRO,01-02-24,10,0
Cameroon,CMR,AFRO,01-03-22,3,1
Cameroon,CMR,AFRO,01-04-22,1,0
Cameroon,CMR,AFRO,01-05-22,0,0
Cameroon,CMR,AFRO,01-06-22,2,0
Cameroon,CMR,AFRO,01-07-22,2,0
Cameroon,CMR,AFRO,01-08-22,0,2
Cameroon,CMR,AFRO,01-09-22,2,0
Cameroon,CMR,AFRO,01-10-22,6,0
Cameroon,CMR,AFRO,01-11-22,2,0
Cameroon,CMR,AFRO,01-12-22,0,0
Cameroon,CMR,AFRO,01-01-23,0,0
Cameroon,CMR,AFRO,01-02-23,0,0
Cameroon,CMR,AFRO,01-03-23,0,0
Cameroon,CMR,AFRO,01-04-23,0,0
Cameroon,CMR,AFRO,01-05-23,13,0
Cameroon,CMR,AFRO,01-06-23,10,0
Cameroon,CMR,AFRO,01-07-23,2,0
Cameroon,CMR,AFRO,01-08-23,0,0
Cameroon,CMR,AFRO,01-09-23,1,0
Cameroon,CMR,AFRO,01-10-23,1,0
Cameroon,CMR,AFRO,01-11-23,0,0
Cameroon,CMR,AFRO,01-12-23,0,0
Cameroon,CMR,AFRO,01-01-24,2,1
Cameroon,CMR,AFRO,01-02-24,0,0
Cameroon,CMR,AFRO,01-03-24,4,0
Cameroon,CMR,AFRO,01-04-24,3,1
Cameroon,CMR,AFRO,01-05-24,0,0
Canada,CAN,AMRO,01-04-22,2,0
Canada,CAN,AMRO,01-05-22,149,0
Canada,CAN,AMRO,01-06-22,365,0
Canada,CAN,AMRO,01-07-22,470,0
Canada,CAN,AMRO,01-08-22,325,0
Canada,CAN,AMRO,01-09-22,61,0
Canada,CAN,AMRO,01-10-22,15,0
Canada,CAN,AMRO,01-11-22,10,0
Canada,CAN,AMRO,01-12-22,4,0
Canada,CAN,AMRO,01-01-23,7,0
Canada,CAN,AMRO,01-02-23,11,0
Canada,CAN,AMRO,01-03-23,5,0
Canada,CAN,AMRO,01-04-23,7,0
Canada,CAN,AMRO,01-05-23,9,0
Canada,CAN,AMRO,01-06-23,4,0
Canada,CAN,AMRO,01-07-23,3,0
Canada,CAN,AMRO,01-08-23,4,0
Canada,CAN,AMRO,01-09-23,6,0
Canada,CAN,AMRO,01-10-23,3,0
Canada,CAN,AMRO,01-11-23,7,0
Canada,CAN,AMRO,01-12-23,3,0
Canada,CAN,AMRO,01-01-24,8,0
Canada,CAN,AMRO,01-02-24,23,0
Canada,CAN,AMRO,01-03-24,11,0
Canada,CAN,AMRO,01-04-24,13,0
Canada,CAN,AMRO,01-05-24,7,0
Central African Republic,CAF,AFRO,01-01-22,1,0
Central African Republic,CAF,AFRO,01-02-22,2,0
Central African Republic,CAF,AFRO,01-03-22,1,0
Central African Republic,CAF,AFRO,01-04-22,0,0
Central African Republic,CAF,AFRO,01-05-22,0,0
Central African Republic,CAF,AFRO,01-06-22,0,0
Central African Republic,CAF,AFRO,01-07-22,3,0
Central African Republic,CAF,AFRO,01-08-22,1,0
Central African Republic,CAF,AFRO,01-09-22,2,0
Central African Republic,CAF,AFRO,01-10-22,3,0
Central African Republic,CAF,AFRO,01-11-22,0,0
Central African Republic,CAF,AFRO,01-12-22,3,0
Central African Republic,CAF,AFRO,01-01-23,6,0
Central African Republic,CAF,AFRO,01-02-23,4,1
Central African Republic,CAF,AFRO,01-03-23,4,0
Central African Republic,CAF,AFRO,01-04-23,0,0
Central African Republic,CAF,AFRO,01-05-23,0,0
Central African Republic,CAF,AFRO,01-06-23,0,0
Central African Republic,CAF,AFRO,01-07-23,0,0
Central African Republic,CAF,AFRO,01-08-23,0,0
